,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Engine Type,Condition,age_group,Price_groub,Views Performance
7399,Flybridge,Corvette Cruisers power boats,"Used boat,Diesel",1994,10.0,3.96,PVC,79,69030.0,UnitedKingdom," LARGS, Royaume Uni",Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7400,Sport Boat,Ayros power boats,"Display Model,Unleaded",2020,6.99,2.55,GRP,130,71323.5,Switzerland, Vierwaldst¤ttersee ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7401,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.48,2.46,GRP,114,71322.48,Switzerland, Vierwaldst¤ttersee ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7402,Sport Boat,AMT power boats,new boat from stock,2019,6.9,2.6,GRP,157,71298.0,Switzerland, Vierwaldst¤ttersee ,,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7403,Sport Boat,AMT power boats,new boat from stock,2019,6.9,2.6,GRP,133,71298.0,Switzerland, Vierwaldst¤ttersee ,,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7404,Motor Yacht,Ocqueteau power boats,"new boat from stock,Unleaded",2019,7.8,2.73,GRP,177,71298.0,Switzerland, Lake Geneva ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7405,Cabin Boat,Parker power boats,"Used boat,Unleaded",2017,6.95,2.55,GRP,432,71298.0,Switzerland, Murtensee ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7406,Sport Boat,IRON power boats,new boat on order,2020,7.12,2.44,GRP,126,64599.0,Germany, Kiel,,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7407,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.26,2.48,GRP,101,64577.0,Spain, Barcelona,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7408,Pilothouse,Parker power boats,"new boat from stock,Unleaded",2019,7.9,2.9,GRP,54,64539.0,Germany, Nordrhein-Westfalen ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7411,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2017,7.9,2.74,PVC,81,68318.64,UnitedKingdom," LINCOLN, Royaume Uni",Unleaded,new,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7413,Motor Yacht,Bavaria power boats,Used boat,2010,10.4,3.45,GRP,169,64000.0,Croatia(Hrvatska), onbekend,,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7414,Cabin Boat,Quicksilver power boats,"new boat on order,Unleaded",0,7.88,2.55,GRP,72,64000.0,Germany, 1,Unleaded,new,,Medium (44290-250000),Average (70-170)
7415,Motor Yacht,Shiren power boats,Used boat,2016,7.98,2.98,GRP,45,64000.0,Spain, ALMERIA (ES),,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
7416,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,10.0,3.0,GRP,183,64000.0,Croatia(Hrvatska), Istra,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7418,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,7.99,2.8,PVC,101,64000.0,France," LA GRANDE MOTTE, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7419,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,10.4,3.45,GRP,194,64000.0,Croatia(Hrvatska),None,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7420,Motor Yacht,Galeon power boats,"Used boat,Diesel",2000,9.8,3.0,GRP,98,64000.0,Netherlands, Flevoland ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7422,Motor Yacht,Sessa power boats,"Used boat,Diesel",2004,10.6,3.53,PVC,117,64000.0,Spain," Torrevieja, Espagne",Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7423,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2002,10.6,3.54,GRP,299,63999.0,Croatia(Hrvatska), SukoÅ¡an ,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7424,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.48,2.5,PVC,82,63990.0,Spain," Hospitalet del Infante, Espagne",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7425,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.6,GRP,35,63950.0,Germany, Berlin ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7426,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.23,2.4,GRP,95,63900.0,Germany, Schwebheim / Schweinfurt,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7427,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.82,2.45,GRP,274,70420.8,Switzerland, Lake Geneva ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7428,Deck Boat,Wajer power boats,"Used boat,Diesel",2005,7.2,2.54,GRP,81,63860.0,Germany, Norddeutschland,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7429,Classic,Boesch power boats,"Used boat,Unleaded",2005,5.69,2.18,Wood,293,69870.0,Switzerland, Lago Maggiore ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7430,Sport Boat,Bavaria power boats,"Used boat,Unleaded",2007,10.0,2.6,GRP,597,69870.0,Switzerland, Lake Geneva ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7431,Motor Yacht,Larson power boats,"Used boat,Unleaded",2013,8.57,2.68,GRP,665,70380.0,Switzerland, CH,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7432,Cabin Boat,Faeton power boats,"Used boat,Diesel",2014,8.3,2.94,GRP,444,70380.0,Switzerland, Murtensee ,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7433,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,8.5,2.75,GRP,108,63800.0,Other,None,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7434,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,5.94,2.54,GRP,118,63685.0,Germany, Baden-W¼rttemberg ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7435,Classic,Boesch power boats,"Used boat,Unleaded",1986,6.86,2.35,Wood,225,70176.0,Switzerland, Stansstad ,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7436,Cabin Boat,Eolo power boats,"new boat from stock,Unleaded",2019,6.5,2.55,GRP,122,63530.0,Germany, Konstanz-Dettingen,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7437,Classic,Grand Banks power boats,"Used boat,Diesel",1972,10.8,3.71,Wood,204,63500.0,Spain, Mallorca ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7438,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.48,2.53,GRP,49,63500.0,Spain," Hospitalet del Infante, Espagne",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7439,Sport Boat,IRON power boats,new boat on order,2020,7.67,2.44,GRP,48,63499.0,Germany, Kiel,,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7440,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.42,2.79,PVC,20,67648.23,UnitedKingdom," Lincoln, Lincoln",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7441,Sport Boat,Kelt power boats,Used boat,2009,8.8,3.19,Plastic,105,63000.0,Germany, Hamburg ,,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7442,Motor Yacht,Fiart Mare power boats,"Used boat,Diesel",1999,9.99,3.1,GRP,112,63000.0,Italy, Mar Tirreno,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7443,Trawler,Grand Banks power boats,"Used boat,Diesel",1972,10.8,3.71,GRP,124,63000.0,Spain, Balearic Islands,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7445,Trawler,Aquanaut power boats,Used boat,1996,10.5,3.5,Steel,141,62995.0,Netherlands, In verkoophaven,,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7446,Center console boat,Barro power boats,"Display Model,Unleaded",2019,6.0,2.2,Aluminium,107,69360.0,Switzerland, Lake Constance ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7447,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2010,7.87,2.9,GRP,631,69360.0,Switzerland, Vierwaldst¤ttersee ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7448,Cabin Boat,Scand power boats,"Used boat,Diesel",1992,8.6,3.28,GRP,348,69360.0,Switzerland, Vierwaldst¤ttersee ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7449,Runabout,Bootbau Frei power boats,"Used boat,Unleaded",2015,6.5,2.2,Wood,234,69360.0,Switzerland, Lake Constance ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7451,Cabin Boat,Bayliner power boats,"new boat on order,Unleaded",2020,6.82,2.45,GRP,137,62900.0,Germany, Bayern ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7452,Cabin Boat,Campion power boats,"new boat from stock,Unleaded",2020,7.69,2.59,GRP,36,62900.0,Other,None,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7453,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.86,2.48,GRP,36,62900.0,Germany, Bayern ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7454,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2014,7.42,2.55,GRP,54,62900.0,Germany, Bayern ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
7456,Deck Boat,Sessa power boats,Used boat,2012,7.56,2.64,GRP,62,62800.0,Spain, Mallorca ,,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
7458,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.48,PVC,18,62800.0,France," LA GRANDE MOTTE, France",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7459,Sport Boat,Crownline power boats,"Used boat,Unleaded",2010,7.5,2.59,Plastic,652,62800.0,Other,None,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7460,Pilothouse,Jeanneau power boats,new boat from stock,2020,6.0,2.0,GRP,66,60710.0,Denmark, Svendborg,,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7461,Fishing Boat,Jeanneau power boats,new boat from stock,2020,7.45,2.54,GRP,286,62665.0,Switzerland, Lake Constance ,,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7463,Trawler,Pedro power boats,Used boat,1999,10.6,3.5,Steel,109,62500.0,Netherlands, in onze showroom,,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7464,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,8.1,2.53,PVC,42,62500.0,France," 56400 PLUNERET, 56400 PLUNERET",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7465,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2001,10.8,3.48,PVC,47,62500.0,France," LOCTUDY, France",Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
7467,Passenger boat,VBoats power boats,"new boat from stock,Unleaded",2020,8.5,2.8,Aluminium,190,68909.16,Switzerland, Bouveret,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7468,Classic,Boesch power boats,"Used boat,Unleaded",1972,5.8,2.1,Wood,34,68850.0,Switzerland, Werft K¼ssnacht,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Low (less than 70)
7469,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.37,2.52,PVC,32,62400.0,France," LA ROCHELLE, France",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7470,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,7.48,2.53,GRP,219,62167.0,Switzerland, Stansstad,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7471,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,7.15,2.54,GRP,105,62100.0,Germany, Hamburg ,Unleaded,new,,Medium (44290-250000),Average (70-170)
7472,Cabin Boat,Saver power boats,"new boat from stock,Unleaded",2020,7.5,2.55,GRP,244,61500.0,Germany, Gersthofen 86368,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7473,Pilothouse,Jeanneau power boats,"new boat from stock,Electric",2020,6.55,2.54,GRP,73,61500.0,Germany, Bayern ,Electric,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7474,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2005,10.69,3.49,GRP,329,61500.0,Netherlands, Gelderland ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7475,Sport Boat,Four Winns power boats,"new boat from stock,Unleaded",2020,5.79,2.41,GRP,192,67740.24,Switzerland, Vierwaldst¤ttersee ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7476,Cabin Boat,Jeanneau power boats,"new boat on order,Unleaded",0,9.12,2.98,GRP,45,61166.0,Germany, 2,Unleaded,new,,Medium (44290-250000),Low (less than 70)
7477,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,8.6,2.98,GRP,39,61166.0,Germany, Bnningstedt / Werft,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7478,Bowrider,Glastron power boats,"new boat from stock,Unleaded",2019,6.8,2.54,GRP,190,61107.0,Switzerland, Lake Constance ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7479,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,7.88,2.55,GRP,111,61055.0,Germany, Berlin ,Unleaded,new,,Medium (44290-250000),Average (70-170)
7480,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,8.23,2.79,PVC,55,61000.0,France," LORIENT, France",Unleaded,Used,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7481,Motor Yacht,Holland Boat power boats,"Used boat,Diesel",1992,10.4,3.2,Steel,97,61000.0,Netherlands, Roermond,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7482,Sport Boat,Sessa power boats,"Used boat,Unleaded",2006,9.5,3.45,GRP,335,61000.0,Spain, Costa Brava ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7483,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,7.88,2.55,GRP,93,60999.0,Germany, Kieler Bucht mit Fehmarn ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7484,Deck Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,6.75,2.5,GRP,63,60900.0,Other,None,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7485,House Boat,HT Houseboats power boats,Display Model,2017,6.85,3.65,GRP,148,60800.0,Germany, Wilhelmshaven,,new,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7486,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,6.84,2.4,GRP,57,60780.0,Germany, Nordrhein-Westfalen ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7487,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,6.1,2.5,GRP,69,60753.0,Germany, Lake Constance ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7488,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,8.1,2.5,GRP,43,60700.0,France," LEGE, LEGE",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7489,Pilothouse,Jeanneau power boats,new boat from stock,2020,7.0,2.0,GRP,54,58630.0,Denmark, Svendborg,,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7490,Sport Boat,Bayliner power boats,"new boat on order,Unleaded",2020,6.82,2.45,GRP,198,60580.0,Germany, Lake Constance ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7491,Flybridge,Sealine power boats,"Used boat,Unleaded",1994,10.4,3.2,GRP,297,66300.0,Switzerland, Vierwaldst¤ttersee ,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7493,Pilothouse,Quicksilver power boats,Used boat,2014,7.39,2.79,GRP,181,58499.35,Denmark, I vores udstilling,,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7494,Sport Boat,Chris Craft power boats,"Used boat,Unleaded",1961,7.5,2.3,Wood,171,58500.0,Denmark, Copenhagen,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7495,Cabin Boat,Larson power boats,"Used boat,Diesel",2011,9.0,2.7,GRP,431,58500.0,Other,None,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7496,Motor Yacht,BÃ©nÃ©teau power boats,new boat from stock,0,8.1,2.5,GRP,33,60475.0,Germany, IM VORLAUF,,new,,Medium (44290-250000),Low (less than 70)
7497,Runabout,Riva power boats,"Used boat,Unleaded",1990,10.28,3.33,GRP,167,58370.0,Denmark, Holb¦k,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7498,Cabin Boat,Inter power boats,"new boat from stock,Diesel",2001,9.0,2.9,GRP,188,58370.0,Denmark, Showroom Toldbodgade 94 Randers,Diesel,new,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7499,Flybridge,Birchwood power boats,"Used boat,Diesel",1998,10.41,3.73,PVC,101,64349.99999999999,UnitedKingdom," LARGS, Royaume Uni",Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7500,Pilothouse,Ocqueteau power boats,new boat from stock,2018,7.8,2.74,GRP,41,64344.149999999994,UnitedKingdom," Burnham-on-Crouch, Maldon",,new,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
7501,Flybridge,Fairline power boats,"Used boat,Diesel",1990,12.09,4.06,GRP,67,64291.49999999999,UnitedKingdom," Chatham, Royaume Uni",Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Low (less than 70)
7502,Sport Boat,Sunseeker power boats,Used boat,1988,11.2,3.22,GRP,415,66300.0,Switzerland, Lake Constance ,,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7503,Motor Yacht,Azimut power boats,Used boat,1982,11.47,3.95,GRP,67,60000.0,Croatia(Hrvatska), onbekend,,Used,Very Old (built before 2000),Medium (44290-250000),Low (less than 70)
7504,Flybridge,Dellapasqua power boats,"Used boat,Diesel",1987,11.37,3.75,GRP,116,60000.0,Italy, Lazio ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7505,Sport Boat,Cranchi power boats,Used boat,1990,12.11,3.8,GRP,87,60000.0,Other,None,,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7508,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2018,7.47,2.52,PVC,103,60000.0,Spain," Denia, Espagne",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7509,Flybridge,Azimut power boats,"Used boat,Diesel",1992,11.44,3.96,GRP,154,60000.0,Italy, Mar Tirreno,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7510,Motor Yacht,Nimbus power boats,"Used boat,Diesel",1990,9.2,3.2,PVC,102,60000.0,France," Plou«r-sur-Rance, Plou«r-sur-Rance",Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7511,Bowrider,Frauscher power boats,"Used boat,Electric",0,6.8,2.25,GRP,121,60000.0,Other, Wrthersee ,Electric,Used,,Medium (44290-250000),Average (70-170)
7513,Motor Yacht,Viper power boats,"Used boat,Unleaded",2013,7.25,2.57,GRP,298,60000.0,Switzerland, LAGO MAGGIORE CH,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7514,Pilothouse,AluForce power boats,new boat from stock,2020,8.2,2.5,Aluminium,120,60000.0,Germany, auf Anfrage,,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7515,Flybridge,Neptunus power boats,"Used boat,Diesel",1976,13.1,4.0,Plastic,173,60000.0,Netherlands, Nordbrabant ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7517,Motor Yacht,ManÃ² power boats,"Used boat,Unleaded",2008,11.0,3.2,GRP,166,60000.0,Italy, Mar Tirreno,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7519,Trawler,Pedro power boats,Used boat,1980,10.5,3.45,Steel,108,60000.0,Netherlands," Verkoophaven Flevostrand, Navigatie ""Zuiderzee op",,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7522,Trawler,Hollandia power boats,"Used boat,Diesel",1991,10.0,3.3,Steel,113,59990.0,Germany, 14776 Brandenburg,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7523,Sport Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,0,6.48,2.46,GRP,62,59990.0,Germany, Ausstellungshalle Schweich,,new,,Medium (44290-250000),Low (less than 70)
7524,Trawler,Wim van der Valk power boats,"Used boat,Diesel",1983,12.4,3.7,Steel,105,59990.0,Germany, Angerm¼nde,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7525,Bowrider,Scarab power boats,"new boat from stock,Unleaded",2019,5.7,2.4,PVC,42,59990.0,France," Saint-Jorioz, France",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7526,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.48,2.5,GRP,89,59990.0,Germany, Erftstadt-Liblar,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7527,Motor Yacht,Scand power boats,"Used boat,Diesel",1995,10.7,3.45,GRP,155,59990.0,Germany, Havel (Rathenow),Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7528,Pilothouse,Jeanneau power boats,new boat from stock,2019,6.71,2.54,GRP,341,59963.0,Switzerland, Lake Constance ,,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7529,Cabin Boat,Stickl power boats,"new boat from stock,Electric",2020,6.6,2.1,GRP,150,59950.0,Germany, Bayern ,Electric,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7531,Cabin Boat,Sunseeker power boats,"Used boat,Diesel",1992,10.35,3.5,GRP,383,59950.0,Netherlands, Brouwershaven 4318CA,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7533,Motor Yacht,Bond Yachts power boats,"Used boat,Unleaded",2007,9.1,2.93,GRP,233,59900.0,Italy, Venedig,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
7534,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2020,7.39,2.66,PVC,65,59900.0,France," Deauville, France",Unleaded,Used,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7535,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2011,8.69,2.74,GRP,121,59900.0,Spain, Marbella/Spanien,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7536,Flybridge,Vrijbuiter power boats,Used boat,1994,11.75,3.5,Steel,102,59900.0,Netherlands, Nieuwe Niedorp,,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7537,Trawler,Wicabo power boats,"Used boat,Diesel",1992,11.4,3.45,Steel,160,59900.0,Germany, Bremen,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7538,Bowrider,Saxdor power boats,"new boat from stock,Unleaded",2020,5.94,2.29,GRP,132,59900.0,Germany, Boote Pfister GmbH Schwebheim / Schweinfurt,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7539,Motor Yacht,Fairline power boats,"Used boat,Diesel",1992,11.15,3.48,GRP,122,59900.0,Germany, Neustadt in Holstein,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7540,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.84,2.4,GRP,66,59900.0,Germany, Schwebheim / Schweinfurt,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7541,Motor Yacht,Bege power boats,"Used boat,Diesel",2004,9.5,3.25,Steel,109,59900.0,Germany, Braunschweig,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7542,Trawler,Pedro power boats,Used boat,1991,10.5,3.3,Steel,75,59900.0,Netherlands, onbekend,,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
7543,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2019,6.69,2.54,GRP,187,59900.0,Germany, Schwebheim / Schweinfurt,Unleaded,Used,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
7544,Trawler,Pedro power boats,"Used boat,Diesel",1993,10.6,3.3,Steel,205,59900.0,Netherlands, In verkoophaven,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
7545,Center console boat,Jeanneau power boats,new boat from stock,2020,7.37,2.54,GRP,33,63876.149999999994,UnitedKingdom," Burton Waters, Burton Waters",,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7546,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.99,2.56,GRP,51,59850.0,Germany, Niedersachsen ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7547,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,79,59700.0,Other, Linz Schauraum TopYacht,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
7548,Bowrider,Chaparral power boats,new boat from stock,2018,6.4,2.6,GRP,133,65790.0,Switzerland, Lake Constance ,,new,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7549,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.2,2.4,GRP,60,65749.2,Switzerland, Luganersee ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
7550,Sport Boat,Adex Nautica power boats,"Used boat,Diesel",2007,9.0,3.0,GRP,112,59500.0,Croatia(Hrvatska), Kvarner,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7551,Sport Boat,Lema power boats,"new boat from stock,Unleaded",2017,8.2,3.33,GRP,86,59500.0,Italy, Lago,Unleaded,new,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
7553,Fishing Boat,San Remo power boats,"Used boat,Unleaded",2008,9.3,2.99,GRP,56,59500.0,Other, Lisbon,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
