,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Engine Type,Condition,age_group,Price_groub,Views Performance
965,Pontoon Boat,Chaparral power boats,"Used boat,Unleaded",2007,8.5,3.1,GRP,200,48000.0,Italy, Toscana ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
966,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2008,8.78,2.94,GRP,119,48000.0,Italy, Aprilia Marittima di Latisana (UD),Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
967,Sport Boat,Chaparral power boats,"Used boat,Unleaded",2004,8.84,2.9,GRP,81,48000.0,Italy, Mar Tirreno,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
968,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2014,7.74,2.81,PVC,54,48000.0,France," Saint-Quay-Portrieux, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
969,Hardtop,Inter power boats,"Used boat,Diesel",2000,8.8,2.7,GRP,142,48000.0,Croatia(Hrvatska), Madarska,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
970,Deck Boat,Boston Whaler power boats,Used boat,2012,5.74,2.43,GRP,46,48000.0,Netherlands, In verkoophaven,,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
971,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2006,8.95,2.95,GRP,219,48000.0,Italy, Moniga del Garda (BS),Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
972,Sport Boat,Primatist power boats,"Used boat,Diesel",2001,9.54,2.96,GRP,183,48000.0,Italy, Moniga del Garda (BS) ,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
973,Sport Boat,Rinker power boats,Used boat,2007,8.3,2.59,GRP,245,48000.0,Other, Maaseik (BE),,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
974,Sport Boat,Rinker power boats,"Used boat,Unleaded",2007,8.0,3.33,GRP,270,48000.0,Other,None,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
975,Motor Yacht,Maxum power boats,"Used boat,Unleaded",2006,8.25,2.6,Plastic,366,48000.0,Other,None,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
976,Sport Boat,Faeton power boats,"Used boat,Diesel",2002,9.5,3.25,GRP,94,49000.0,Croatia(Hrvatska), Pula,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
978,Trawler,Altena power boats,"Used boat,Diesel",1984,11.4,3.4,GRP,57,49000.0,Germany, Rhein,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Low (less than 70)
979,Pilothouse,B̩n̩teau power boats,"Used boat,Unleaded",2018,7.48,2.53,PVC,58,49000.0,France," LES SABLES D OLONNE, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
980,Sport Boat,B2 Marine power boats,"Used boat,Unleaded",2018,6.95,2.48,PVC,55,49000.0,France," Marseille, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
981,Sport Boat,Regal power boats,"Used boat,Unleaded",2010,8.4,2.5,PVC,92,49000.0,Other," BRATISLAVA, Slovaquie",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
982,Sport Boat,Four Winns power boats,"Used boat,Unleaded",2007,7.92,2.55,GRP,128,49000.0,Germany, LAMPERTHEIM,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
984,Cabin Boat,Starfisher power boats,"Used boat,Diesel",2007,7.99,3.05,GRP,104,49000.0,Other, Faro ,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
985,Trawler,de Ruiter power boats,"Used boat,Diesel",1979,12.5,3.8,Steel,352,49000.0,Germany, Nordrhein-Westfalen ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
987,Pilothouse,B̩n̩teau power boats,"Used boat,Unleaded",2018,7.48,2.43,GRP,45,49000.0,France," PAIMPOL, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
988,Offshore Boat,Pursuit power boats,"Used boat,Unleaded",2005,9.17,3.2,GRP,194,49000.0,Italy, Sardegna ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
989,Sport Boat,Regal power boats,Used boat,2010,8.4,2.89,GRP,127,49000.0,Other,None,,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
991,Cabin Boat,Formula power boats,"Used boat,Unleaded",1991,10.0,2.44,GRP,352,49000.0,Other, Lake Constance ,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
992,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2009,7.12,2.49,GRP,346,49000.0,Other, Braga ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
993,Motor Yacht,Thermo Yacht power boats,"Used boat,Diesel",1992,10.9,3.55,Steel,209,49500.0,Germany, Niedersachsen ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
994,Trawler,Thermo Yacht power boats,"Used boat,Diesel",1992,10.9,3.55,Steel,174,49500.0,Germany, Emden,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
995,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2009,7.65,2.59,GRP,185,49500.0,France," DIENVILLE, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
997,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2018,7.46,2.55,GRP,70,49499.0,Germany, Nordrhein-Westfalen ,Unleaded,new,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
998,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,8.23,2.79,GRP,91,49490.0,Other, Wiener Neustadt,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
