Date,Open,High,Low,Close,Adj Close,Volume
9/19/2022,5.39,5.505,5.37,5.43,5.43,1393500
9/20/2022,5.4,5.505,5.31,5.35,5.35,1546300
9/21/2022,5.34,5.495,5.26,5.27,5.27,2163500
9/22/2022,5.26,5.31,4.945,5.02,5.02,3696700
9/23/2022,4.92,5.01,4.79,4.95,4.95,3278100
9/26/2022,4.92,5.04,4.81,4.83,4.83,2596700
9/27/2022,4.93,5.03,4.78,4.86,4.86,2655900
9/28/2022,4.86,5.04,4.83,5,5,2286000
9/29/2022,4.9,4.96,4.51,4.55,4.55,3596200
9/30/2022,4.51,4.65,4.33,4.33,4.33,4014300
